Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s)
2022/11/19;0000 UTC;0;1017,5;1017,5;1016,8;;23,2;;23,3;23,2;;;;;;122;6,4;2,3
2022/11/19;0100 UTC;0;1017,3;1017,5;1017,3;;23,1;;23,2;23,1;;;;;;122;7,5;2,6
2022/11/19;0200 UTC;0;1017,4;1017,4;1017,1;;22,2;;23,2;22,2;;;;;;17;7;,7
2022/11/19;0300 UTC;0;1017,2;1017,5;1017,2;;21,1;;22,2;20,9;;;;;;344;2,5;1
2022/11/19;0400 UTC;0;1016,8;1017,2;1016,8;;19,9;;21,1;19,9;;;;;;354;1,7;,8
2022/11/19;0500 UTC;0;1016,3;1016,8;1016,3;;19,9;;19,9;19,7;;;;;;335;1,5;,7
2022/11/19;0600 UTC;0;1015,9;1016,3;1015,9;;19,6;;19,9;19,5;;;;;;346;1,6;,7
2022/11/19;0700 UTC;0;1015,8;1016;1015,8;;19,5;;19,6;19,3;;;;;;347;1,9;,8
2022/11/19;0800 UTC;0;1016,2;1016,2;1015,8;;18,8;;19,6;18,8;;;;;;232;1,6;,3
2022/11/19;0900 UTC;0;1016,8;1016,8;1016,2;30;18,6;17,4;19;18,5;;;;;93;315;1,3;,6
2022/11/19;1000 UTC;0;1017,6;1017,6;1016,8;268,8;20,3;17,5;20,3;18,6;17,8;17,3;93;84;84;157;1,2;,6
