Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s)
2024/11/06;0000 UTC;0;996;996;995,5;;23;19,7;23,3;23;19,8;19,6;82;80;82;72;2;,6
2024/11/06;0100 UTC;0;996;996,2;996;;22,5;19,6;23;22,3;19,7;19,6;85;82;84;288;1,2;,4
2024/11/06;0200 UTC;0;995,6;996;995,6;;21,8;19,5;22,5;21,8;19,7;19,5;87;84;87;304;1,5;1,1
2024/11/06;0300 UTC;0;995,1;995,6;995,1;;21,2;19,3;21,8;21;19,5;19,3;90;87;89;306;1,7;1,2
2024/11/06;0400 UTC;0;994,5;995,1;994,5;;20,5;19,1;21,2;20,5;19,3;19,1;92;89;92;260;1,8;1,2
2024/11/06;0500 UTC;0;994,2;994,6;994,2;;20,4;19;20,6;20,4;19,2;19;92;91;92;284;1,9;1,2
2024/11/06;0600 UTC;0;994,1;994,2;993,9;;20,3;19;20,5;20,2;19,1;18,9;93;91;93;254;2,3;1,1
2024/11/06;0700 UTC;0;994,5;994,5;994,1;;20,1;18,8;20,3;20;19;18,8;93;92;92;281;1,9;1,2
2024/11/06;0800 UTC;0;994,6;994,6;994,5;2,4;20,1;18,8;20,2;20;18,9;18,7;93;92;92;328;2,4;1
2024/11/06;0900 UTC;0;995,1;995,1;994,6;207,2;20,9;19,4;20,9;20,1;19,4;18,8;93;91;91;290;2,2;1,4
2024/11/06;1000 UTC;0;995,8;995,8;995,1;903,9;23,6;20,3;23,6;20,9;20,6;19,3;91;82;82;244;2,6;1,5
2024/11/06;1100 UTC;0;996;996,1;995,8;1600,7;26;20,9;26;23,2;21;20;84;73;74;158;3,4;1,6
2024/11/06;1200 UTC;0;995,6;996;995,6;2018,3;27,6;20,4;28,3;26;21,3;19,9;74;63;65;147;6,3;3,3
