Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s)
2022/08/28;0000 UTC;0;1007,6;1007,6;1007,3;;19,1;19,1;19,8;19,1;19,5;18,2;100;92;100;204;1,5;,4
2022/08/28;0100 UTC;0;1007,9;1008;1007,6;;18,6;;19;18,6;;;;;;222;1,4;,4
2022/08/28;0200 UTC;0;1007,7;1008;1007,7;;17,7;;18,6;17,7;;;;;;215;1,8;,9
2022/08/28;0300 UTC;0;1007,6;1007,8;1007,6;;17,3;;17,9;17;;;;;;252;1,9;,3
2022/08/28;0400 UTC;0;1007,4;1007,7;1007,4;;16,7;;17,5;16,7;;;;;;233;1,7;,5
2022/08/28;0500 UTC;0;1006,9;1007,4;1006,8;;16,8;;17,4;16,5;;;;;;223;1,2;,3
2022/08/28;0600 UTC;0;1006,4;1006,9;1006,3;;16,1;;16,8;15,5;;;;;;207;2,3;,7
2022/08/28;0700 UTC;0;1006;1006,4;1005,9;;15,9;;16,1;14,8;;;;;;179;2;1,4
2022/08/28;0800 UTC;0;1006,4;1006,4;1006;;14,8;;16,4;14,6;;;;;;323;3,4;,9
2022/08/28;0900 UTC;,2;1006,9;1006,9;1006,3;;15,5;;15,7;14,8;;;;;;126;1,7;,4
2022/08/28;1000 UTC;0;1007,9;1007,9;1006,9;21,8;15,2;;15,8;15;;;;;;354;1,6;,1
2022/08/28;1100 UTC;0;1008,9;1008,9;1007,9;435,3;16,5;;16,5;14,9;;;;;;359;1,2;,1
2022/08/28;1200 UTC;0;1011,9;1012;1008,9;1265,7;20,3;16,6;20,8;16,5;17,1;16,1;100;76;80;165;9,6;3,7
2022/08/28;1300 UTC
2022/08/28;1400 UTC;0;1014,2;1014,4;1014;1305;23,1;17,6;23,5;21;18,6;16,5;82;70;71;335;6,2;1,1
2022/08/28;1500 UTC;0;1013,8;1014,2;1013,8;1225,6;22;17,3;23,8;22;18,8;17,1;76;68;75;20;4,4;2
2022/08/28;1600 UTC;0;1013,7;1013,8;1013,7;925,1;23,5;17,6;23,5;21,9;18,3;16,8;77;68;70;72;3,8;,4
2022/08/28;1700 UTC;0;1012,8;1013,7;1012,7;2274,6;23,5;17,3;25,6;23,4;18,4;16,4;69;59;68;48;4,3;1,8
